Approved Symbol,HGNC symbol,Approved Name,Actually approved name,Num Distinct Exons,In breast panel v2,Add to breast panel v3
CBL,CBL,Cas-Br-M (murine) ecotropic retroviral transforming sequence,,16,FALSE,
CCND1,CCND1,cyclin D1,,5,FALSE,
CCND2,CCND2,cyclin D2,,5,FALSE,
CCND3,CCND3,cyclin D3,,6,FALSE,
CCNE1,CCNE1,cyclin E1,,11,FALSE,
CD274,CD274,CD274 molecule,,6,FALSE,
CD276,CD276,CD276 molecule,,9,FALSE,
CD79A,CD79A,"CD79a molecule, immunoglobulin-associated alpha",,5,FALSE,
CD79B,CD79B,"CD79b molecule, immunoglobulin-associated beta",,6,FALSE,
CDC73,CDC73,"cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)",,17,FALSE,
CDH1,CDH1,"cadherin 1, type 1, E-cadherin (epithelial)",,16,TRUE,
CDK12,CDK12,cyclin-dependent kinase 12,,14,FALSE,
CDK4,CDK4,cyclin-dependent kinase 4,,7,TRUE,
CDK6,CDK6,cyclin-dependent kinase 6,,7,TRUE,
CDK8,CDK8,cyclin-dependent kinase 8,,13,FALSE,
CDKN1A,CDKN1A,"cyclin-dependent kinase inhibitor 1A (p21, Cip1)",,3,TRUE,
CDKN1B,CDKN1B,"cyclin-dependent kinase inhibitor 1B (p27, Kip1)",,2,TRUE,
CDKN2A,CDKN2A,"cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)",,5,TRUE,
CDKN2B,CDKN2B,"cyclin-dependent kinase inhibitor 2B (p15, inhibits CDK4)",,2,TRUE,
CDKN2C,CDKN2C,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)",,2,FALSE,
CEBPA,CEBPA,"CCAAT/enhancer binding protein (C/EBP), alpha",,1,FALSE,
CENPA,CENPA,centromere protein A,,4,FALSE,
CHEK1,CHEK1,CHK1 checkpoint homolog (S. pombe),,12,TRUE,
CHEK2,CHEK2,CHK2 checkpoint homolog (S. pombe),,15,TRUE,
CIC,CIC,capicua homolog (Drosophila),,20,FALSE,
CREBBP,CREBBP,CREB binding protein,,31,FALSE,
CRKL,CRKL,v-crk sarcoma virus CT10 oncogene homolog (avian)-like,,3,FALSE,
CRLF2,CRLF2,cytokine receptor-like factor 2,,6,FALSE,
CSF1R,CSF1R,colony stimulating factor 1 receptor,,21,FALSE,
CSF3R,CSF3R,colony stimulating factor 3 receptor (granulocyte),,16,FALSE,
CTCF,CTCF,CCCTC-binding factor (zinc finger protein),,10,TRUE,
CTLA4,CTLA4,cytotoxic T-lymphocyte-associated protein 4,,4,FALSE,
CTNNB1,CTNNB1,"catenin (cadherin-associated protein), beta 1, 88kDa",,14,TRUE,
CUL3,CUL3,cullin 3,,17,FALSE,
CXCR4,CXCR4,chemokine (C-X-C motif) receptor 4,,2,FALSE,
DAXX,DAXX,death-domain associated protein,,8,FALSE,
DCUN1D1,DCUN1D1,"DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae)",,7,FALSE,
DDR2,DDR2,discoidin domain receptor tyrosine kinase 2,,16,FALSE,
DICER1,DICER1,"dicer 1, ribonuclease type III",,26,FALSE,?
DIS3,DIS3,DIS3 mitotic control homolog (S. cerevisiae),,22,FALSE,
DNAJB1,DNAJB1,"DnaJ (Hsp40) homolog, subfamily B, member 1",,3,FALSE,
DNMT1,DNMT1,DNA (cytosine-5-)-methyltransferase 1,,41,FALSE,
DNMT3A,DNMT3A,DNA (cytosine-5-)-methyltransferase 3 alpha,,24,FALSE,
DNMT3B,DNMT3B,DNA (cytosine-5-)-methyltransferase 3 beta,,23,FALSE,
DOT1L,DOT1L,"DOT1-like, histone H3 methyltransferase (S. cerevisiae)",,29,FALSE,
E2F3,E2F3,E2F transcription factor 3,,8,FALSE,
EED,EED,embryonic ectoderm development,,13,FALSE,
EGFL7,EGFL7,"EGF-like-domain, multiple 7",,8,FALSE,
EGFR,EGFR,epidermal growth factor receptor,,30,TRUE,
EIF1AX,EIF1AX,"eukaryotic translation initiation factor 1A, X-linked",,7,FALSE,
EIF4A2,EIF4A2,eukaryotic translation initiation factor 4A2,,11,TRUE,
EIF4E,EIF4E,eukaryotic translation initiation factor 4E,,9,FALSE,
EP300,EP300,E1A binding protein p300,,31,FALSE,?
EPCAM,EPCAM,epithelial cell adhesion molecule,,9,FALSE,
EPHA3,EPHA3,EPH receptor A3,,17,FALSE,
EPHA5,EPHA5,EPH receptor A5,,18,FALSE,
EPHA7,EPHA7,EPH receptor A7,,17,FALSE,
EPHB1,EPHB1,EPH receptor B1,,16,FALSE,
ERBB2,ERBB2,"v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)",,29,TRUE,
ERBB3,ERBB3,v-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian),,28,TRUE,
ERBB4,ERBB4,v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian),,29,TRUE,
ERCC2,ERCC2,"excision repair cross-complementing rodent repair deficiency, complementation group 2",,24,TRUE,
ERCC3,ERCC3,"excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)",,15,TRUE,
ERCC4,ERCC4,"excision repair cross-complementing rodent repair deficiency, complementation group 4",,11,FALSE,
ERCC5,ERCC5,"excision repair cross-complementing rodent repair deficiency, complementation group 5",,15,TRUE,
ERG,ERG,v-ets erythroblastosis virus E26 oncogene homolog (avian),,12,FALSE,
ERRFI1,ERRFI1,ERBB receptor feedback inhibitor 1,,3,FALSE,
ESR1,ESR1,estrogen receptor 1,,9,TRUE,
ETV1,ETV1,ets variant 1,,13,FALSE,
ETV6,ETV6,ets variant 6,,9,FALSE,
EZH2,EZH2,enhancer of zeste homolog 2 (Drosophila),,19,FALSE,?
FAM123B,AMER1,family with sequence similarity 123B,APC membrane recruitment protein 1,1,FALSE,
FAM175A,FAM175A,"family with sequence similarity 175, member A",,9,FALSE,
FAM46C,FAM46C,"family with sequence similarity 46, member C",,1,FALSE,
FANCA,FANCA,"Fanconi anemia, complementation group A",,44,TRUE,
FANCC,FANCC,"Fanconi anemia, complementation group C",,15,TRUE,
FAT1,FAT1,FAT tumor suppressor homolog 1 (Drosophila),,26,FALSE,
FBXW7,FBXW7,F-box and WD repeat domain containing 7,,14,FALSE,
FGF19,FGF19,fibroblast growth factor 19,,3,FALSE,
FGF3,FGF3,fibroblast growth factor 3,,3,FALSE,
FGF4,FGF4,fibroblast growth factor 4,,3,FALSE,
FGFR1,FGFR1,fibroblast growth factor receptor 1,,19,TRUE,
FGFR2,FGFR2,fibroblast growth factor receptor 2,,20,TRUE,
FGFR3,FGFR3,fibroblast growth factor receptor 3,,19,TRUE,
FGFR4,FGFR4,fibroblast growth factor receptor 4,,16,TRUE,
FH,FH,fumarate hydratase,,10,FALSE,
FLCN,FLCN,folliculin,,11,FALSE,
FLT1,FLT1,fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor),,33,FALSE,
FLT3,FLT3,fms-related tyrosine kinase 3,,24,FALSE,
FLT4,FLT4,fms-related tyrosine kinase 4,,31,FALSE,
FOXA1,FOXA1,forkhead box A1,,2,TRUE,
FOXL2,FOXL2,forkhead box L2,,1,FALSE,
FOXO1,FOXO1,forkhead box O1,,3,FALSE,
FOXP1,FOXP1,forkhead box P1,,20,FALSE,
FUBP1,FUBP1,far upstream element (FUSE) binding protein 1,,21,FALSE,
FYN,FYN,"FYN oncogene related to SRC, FGR, YES",,12,FALSE,
GATA1,GATA1,GATA binding protein 1 (globin transcription factor 1),,5,FALSE,
GATA2,GATA2,GATA binding protein 2,,5,FALSE,
GATA3,GATA3,GATA binding protein 3,,5,TRUE,
GLI1,GLI1,GLI family zinc finger 1,,11,FALSE,
GNA11,GNA11,"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)",,7,FALSE,
GNAQ,GNAQ,"guanine nucleotide binding protein (G protein), q polypeptide",,7,FALSE,
GNAS,GNAS,GNAS complex locus,,15,FALSE,
GPS2,GPS2,G protein pathway suppressor 2,,10,TRUE,
GREM1,GREM1,gremlin 1,,1,FALSE,
GRIN2A,GRIN2A,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A",,12,TRUE,
GSK3B,GSK3B,glycogen synthase kinase 3 beta,,12,FALSE,
H3F3A,H3F3A,"H3 histone, family 3A",,3,FALSE,
H3F3B,H3F3B,"H3 histone, family 3B (H3.3B)",,3,FALSE,
H3F3C,H3F3C,"H3 histone, family 3C",,1,FALSE,
HGF,HGF,hepatocyte growth factor (hepapoietin A; scatter factor),,19,FALSE,
HIST1H1C,HIST1H1C,"histone cluster 1, H1c",,1,FALSE,
HIST1H2BD,HIST1H2BD,"histone cluster 1, H2bd",,1,FALSE,
HIST1H3A,HIST1H3A,"histone cluster 1, H3a",,1,FALSE,
HIST1H3B,HIST1H3B,"histone cluster 1, H3b",,1,TRUE,
HIST1H3C,HIST1H3C,"histone cluster 1, H3c",,1,FALSE,
HIST1H3D,HIST1H3D,"histone cluster 1, H3d",,1,FALSE,
HIST1H3E,HIST1H3E,"histone cluster 1, H3e",,1,FALSE,
HIST1H3F,HIST1H3F,"histone cluster 1, H3f",,3,FALSE,
HIST1H3G,HIST1H3G,"histone cluster 1, H3g",,1,FALSE,
HIST1H3H,HIST1H3H,"histone cluster 1, H3h",,1,FALSE,
HIST1H3I,HIST1H3I,"histone cluster 1, H3i",,1,FALSE,
HIST1H3J,HIST1H3J,"histone cluster 1, H3j",,1,FALSE,
HIST2H3C,HIST2H3C,"histone cluster 2, H3c",,2,FALSE,
HIST2H3D,HIST2H3D,"histone cluster 2, H3d",,1,FALSE,
HIST3H3,HIST3H3,"histone cluster 3, H3",,1,FALSE,
HLA-A,HLA-A,"major histocompatibility complex, class I, A",,8,FALSE,
HNF1A,HNF1A,HNF1 homeobox A,,9,FALSE,
HOXB13,HOXB13,homeobox B13,,2,FALSE,
HRAS,HRAS,v-Ha-ras Harvey rat sarcoma viral oncogene homolog,,5,TRUE,
ICOSLG,ICOSLG,inducible T-cell co-stimulator ligand,,7,FALSE,
ID3,ID3,"inhibitor of DNA binding 3, dominant negative helix-loop-helix protein",,2,FALSE,
IDH1,IDH1,"isocitrate dehydrogenase 1 (NADP+), soluble",,8,FALSE,
IDH2,IDH2,"isocitrate dehydrogenase 2 (NADP+), mitochondrial",,11,FALSE,
IFNGR1,IFNGR1,interferon gamma receptor 1,,9,FALSE,
IGF1,IGF1,insulin-like growth factor 1 (somatomedin C),,6,FALSE,
IGF1R,IGF1R,insulin-like growth factor 1 receptor,,21,TRUE,
IGF2,IGF2,insulin-like growth factor 2 (somatomedin A),,4,FALSE,
IKBKE,IKBKE,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon",,20,FALSE,
IKZF1,IKZF1,IKAROS family zinc finger 1 (Ikaros),,7,FALSE,
IL10,IL10,interleukin 10,,5,FALSE,
IL7R,IL7R,interleukin 7 receptor,,8,FALSE,
INHA,INHA,"inhibin, alpha",,2,FALSE,
INHBA,INHBA,"inhibin, beta A",,2,FALSE,
INPP4A,INPP4A,"inositol polyphosphate-4-phosphatase, type I, 107kDa",,25,FALSE,
INPP4B,INPP4B,"inositol polyphosphate-4-phosphatase, type II, 105kDa",,24,TRUE,
INSR,INSR,insulin receptor,,22,FALSE,
IRF4,IRF4,interferon regulatory factor 4,,9,FALSE,
IRS1,IRS1,insulin receptor substrate 1,,1,TRUE,
IRS2,IRS2,insulin receptor substrate 2,,2,FALSE,
JAK1,JAK1,Janus kinase 1,,24,TRUE,
JAK2,JAK2,Janus kinase 2,,23,TRUE,
JAK3,JAK3,Janus kinase 3,,24,FALSE,
JUN,JUN,jun proto-oncogene,,1,FALSE,
KDM5A,KDM5A,lysine (K)-specific demethylase 5A,,28,FALSE,
KDM5C,KDM5C,lysine (K)-specific demethylase 5C,,27,FALSE,
KDM6A,KDM6A,lysine (K)-specific demethylase 6A,,30,FALSE,
KDR,KDR,kinase insert domain receptor (a type III receptor tyrosine kinase),,30,FALSE,
KEAP1,KEAP1,kelch-like ECH-associated protein 1,,5,FALSE,
KIT,KIT,v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog,,21,TRUE,
KLF4,KLF4,Kruppel-like factor 4 (gut),,5,FALSE,
KRAS,KRAS,v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog,,5,TRUE,
LATS1,LATS1,"LATS, large tumor suppressor, homolog 1 (Drosophila)",,7,FALSE,
LATS2,LATS2,"LATS, large tumor suppressor, homolog 2 (Drosophila)",,7,FALSE,
LMO1,LMO1,LIM domain only 1 (rhombotin 1),,5,FALSE,
MALT1,MALT1,mucosa associated lymphoid tissue lymphoma translocation gene 1,,17,FALSE,
MAP2K1,MAP2K1,mitogen-activated protein kinase kinase 1,,12,TRUE,
MAP2K2,MAP2K2,mitogen-activated protein kinase kinase 2,,11,TRUE,
MAP2K4,MAP2K4,mitogen-activated protein kinase kinase 4,,13,TRUE,
MAP3K1,MAP3K1,mitogen-activated protein kinase kinase kinase 1,,20,TRUE,
MAP3K13,MAP3K13,mitogen-activated protein kinase kinase kinase 13,,15,FALSE,
MAP3K14,MAP3K14,mitogen-activated protein kinase kinase kinase 14,,16,FALSE,
MAPK1,MAPK1,mitogen-activated protein kinase 1,,8,TRUE,
MAPK3,MAPK3,mitogen-activated protein kinase 3,,8,FALSE,
MAX,MAX,MYC associated factor X,,10,FALSE,
MCL1,MCL1,myeloid cell leukemia sequence 1 (BCL2-related),,3,FALSE,
MDC1,MDC1,mediator of DNA-damage checkpoint 1,,14,FALSE,
MDM2,MDM2,Mdm2 p53 binding protein homolog (mouse),,11,TRUE,
MDM4,MDM4,Mdm4 p53 binding protein homolog (mouse),,10,FALSE,
MED12,MED12,mediator complex subunit 12,,45,TRUE,
MEF2B,MEF2B,myocyte enhancer factor 2B,,8,FALSE,
MEN1,MEN1,multiple endocrine neoplasia I,,9,FALSE,
MET,MET,met proto-oncogene (hepatocyte growth factor receptor),,20,TRUE,
MGA,MGA,MAX gene associated,,23,FALSE,
MITF,MITF,microphthalmia-associated transcription factor,,14,FALSE,
MLH1,MLH1,"mutL homolog 1, colon cancer, nonpolyposis type 2 (E. coli)",,20,TRUE,
MLL,KMT2A,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)",Lysine (K)-specific methylatransferase 2A,36,FALSE,
MLL2,KMT2D,myeloid/lymphoid or mixed-lineage leukemia 2,Lysine (K)-specific methylatransferase 2D,54,TRUE,
MLL3,KMT2C,myeloid/lymphoid or mixed-lineage leukemia 3,Lysine (K)-specific methylatransferase 2C,60,TRUE,
MPL,MPL,myeloproliferative leukemia virus oncogene,,12,FALSE,
MRE11A,MRE11A,MRE11 meiotic recombination 11 homolog A (S. cerevisiae),,19,TRUE,
MSH2,MSH2,"mutS homolog 2, colon cancer, nonpolyposis type 1 (E. coli)",,19,TRUE,
MSH6,MSH6,mutS homolog 6 (E. coli),,10,TRUE,
MST1,MST1,macrophage stimulating 1 (hepatocyte growth factor-like),,18,FALSE,
MST1R,MST1R,macrophage stimulating 1 receptor (c-met-related tyrosine kinase),,20,FALSE,
MTOR,MTOR,mechanistic target of rapamycin (serine/threonine kinase),,57,TRUE,
MUTYH,MUTYH,mutY homolog (E. coli),,16,TRUE,
MYC,MYC,v-myc myelocytomatosis viral oncogene homolog (avian),,3,FALSE,
MYCL1,MYCL,"v-myc myelocytomatosis viral oncogene homolog 1, lung carcinoma derived (avian)","v-myc myelocytomatosis viral related oncogene, lung carcinoma derived homolog",3,FALSE,
MYCN,MYCN,"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)",,2,FALSE,
MYD88,MYD88,myeloid differentiation primary response gene (88),,5,FALSE,
MYOD1,MYOD1,myogenic differentiation 1,,3,FALSE,
NBN,NBN,nibrin,,16,TRUE,
NCOA3,NCOA3,nuclear receptor coactivator 3,,21,TRUE,
NCOR1,NCOR1,nuclear receptor corepressor 1,,46,TRUE,
NEGR1,NEGR1,neuronal growth regulator 1,,7,FALSE,
NF1,NF1,neurofibromin 1,,59,TRUE,
NF2,NF2,neurofibromin 2 (merlin),,17,TRUE,
NFE2L2,NFE2L2,nuclear factor (erythroid-derived 2)-like 2,,5,FALSE,
NFKBIA,NFKBIA,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha",,6,FALSE,
NKX2-1,NKX2-1,NK2 homeobox 1,,3,FALSE,
NKX3-1,NKX3-1,NK3 homeobox 1,,2,FALSE,
NOTCH1,NOTCH1,notch 1,,34,FALSE,
NOTCH2,NOTCH2,notch 2,,34,FALSE,
NOTCH3,NOTCH3,notch 3,,33,FALSE,
NOTCH4,NOTCH4,notch 4,,30,FALSE,
NPM1,NPM1,"nucleophosmin (nucleolar phosphoprotein B23, numatrin)",,12,FALSE,
NRAS,NRAS,neuroblastoma RAS viral (v-ras) oncogene homolog,,4,TRUE,
NSD1,NSD1,nuclear receptor binding SET domain protein 1,,22,FALSE,
NTRK1,NTRK1,"neurotrophic tyrosine kinase, receptor, type 1",,19,FALSE,
NTRK2,NTRK2,"neurotrophic tyrosine kinase, receptor, type 2",,20,FALSE,
NTRK3,NTRK3,"neurotrophic tyrosine kinase, receptor, type 3",,21,FALSE,
NUP93,NUP93,nucleoporin 93kDa,,21,FALSE,
PAK1,PAK1,p21 protein (Cdc42/Rac)-activated kinase 1,,16,FALSE,
PAK7,PAK7,p21 protein (Cdc42/Rac)-activated kinase 7,,8,FALSE,
PALB2,PALB2,partner and localizer of BRCA2,,13,TRUE,
PARK2,PARK2,"parkinson protein 2, E3 ubiquitin protein ligase (parkin)",,16,FALSE,
PARP1,PARP1,poly (ADP-ribose) polymerase 1,,23,TRUE,
PAX5,PAX5,paired box 5,,11,FALSE,
PBRM1,PBRM1,polybromo 1,,31,FALSE,
PDCD1,PDCD1,programmed cell death 1,,5,FALSE,
PDGFRA,PDGFRA,"platelet-derived growth factor receptor, alpha polypeptide",,34,TRUE,
PDGFRB,PDGFRB,"platelet-derived growth factor receptor, beta polypeptide",,22,TRUE,
PDPK1,PDPK1,3-phosphoinositide dependent protein kinase-1,,23,FALSE,
PGR,PGR,progesterone receptor,,8,TRUE,
PHOX2B,PHOX2B,paired-like homeobox 2b,,3,FALSE,
PIK3C2G,PIK3C2G,"phosphoinositide-3-kinase, class 2, gamma polypeptide",,32,FALSE,
PIK3C3,PIK3C3,"phosphoinositide-3-kinase, class 3",,25,FALSE,
PIK3CA,PIK3CA,"phosphoinositide-3-kinase, catalytic, alpha polypeptide",,20,TRUE,
PIK3CB,PIK3CB,"phosphoinositide-3-kinase, catalytic, beta polypeptide",,22,TRUE,
PIK3CD,PIK3CD,"phosphoinositide-3-kinase, catalytic, delta polypeptide",,22,FALSE,
PIK3CG,PIK3CG,"phosphoinositide-3-kinase, catalytic, gamma polypeptide",,10,FALSE,
PIK3R1,PIK3R1,"phosphoinositide-3-kinase, regulatory subunit 1 (alpha)",,17,TRUE,
PIK3R2,PIK3R2,"phosphoinositide-3-kinase, regulatory subunit 2 (beta)",,15,FALSE,
PIK3R3,PIK3R3,"phosphoinositide-3-kinase, regulatory subunit 3 (gamma)",,12,FALSE,
PIM1,PIM1,pim-1 oncogene,,7,FALSE,
PLCG2,PLCG2,"phospholipase C, gamma 2 (phosphatidylinositol-specific)",,32,FALSE,
PLK2,PLK2,polo-like kinase 2,,14,FALSE,
PMAIP1,PMAIP1,phorbol-12-myristate-13-acetate-induced protein 1,,2,FALSE,
PMS1,PMS1,PMS1 postmeiotic segregation increased 1 (S. cerevisiae),,13,TRUE,
PMS2,PMS2,PMS2 postmeiotic segregation increased 2 (S. cerevisiae),,15,TRUE,
PNRC1,PNRC1,proline-rich nuclear receptor coactivator 1,,2,FALSE,
POLD1,POLD1,"polymerase (DNA directed), delta 1, catalytic subunit 125kDa",,26,TRUE,
POLE,POLE,"polymerase (DNA directed), epsilon",,49,TRUE,
PPM1D,PPM1D,"protein phosphatase, Mg2+/Mn2+ dependent, 1D",,6,FALSE,
PPP2R1A,PPP2R1A,"protein phosphatase 2, regulatory subunit A, alpha",,15,FALSE,
PPP6C,PPP6C,"protein phosphatase 6, catalytic subunit",,8,FALSE,
PRDM1,PRDM1,"PR domain containing 1, with ZNF domain",,8,FALSE,
PRKAR1A,PRKAR1A,"protein kinase, cAMP-dependent, regulatory, type I, alpha (tissue specific extinguisher 1)",,11,FALSE,
PTCH1,PTCH1,patched 1,,25,TRUE,
PTEN,PTEN,phosphatase and tensin homolog,,9,TRUE,
PTPN11,PTPN11,"protein tyrosine phosphatase, non-receptor type 11",,15,FALSE,
PTPRD,PTPRD,"protein tyrosine phosphatase, receptor type, D",,37,FALSE,
PTPRS,PTPRS,"protein tyrosine phosphatase, receptor type, S",,39,FALSE,
PTPRT,PTPRT,"protein tyrosine phosphatase, receptor type, T",,32,FALSE,
RAB35,RAB35,"RAB35, member RAS oncogene family",,6,FALSE,
RAC1,RAC1,"ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)",,7,FALSE,
RAD21,RAD21,RAD21 homolog (S. pombe),,13,FALSE,
RAD50,RAD50,RAD50 homolog (S. cerevisiae),,25,TRUE,
RAD51,RAD51,"RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)",,10,TRUE,
RAD51C,RAD51C,RAD51 homolog C (S. cerevisiae),,9,TRUE,
RAD51L1,RAD51B,RAD51-like 1 (S. cerevisiae),RAD51 paralog B,13,TRUE,
RAD51L3,RAD51D,RAD51-like 3 (S. cerevisiae),RAD51 paralog D,11,TRUE,
RAD52,<#,RAD52 homolog (S. cerevisiae),,11,TRUE,
RAD54L,RAD54L,RAD54-like (S. cerevisiae),,18,TRUE,
RAF1,RAF1,v-raf-1 murine leukemia viral oncogene homolog 1,,16,TRUE,
RARA,RARA,"retinoic acid receptor, alpha",,11,FALSE,?
RASA1,RASA1,RAS p21 protein activator (GTPase activating protein) 1,,28,FALSE,
RB1,RB1,retinoblastoma 1,,27,TRUE,
RBM10,RBM10,RNA binding motif protein 10,,24,FALSE,
RECQL4,RECQL4,RecQ protein-like 4,,22,FALSE,
REL,REL,v-rel reticuloendotheliosis viral oncogene homolog (avian),,11,FALSE,
RET,RET,ret proto-oncogene,,20,FALSE,
RFWD2,RFWD2,ring finger and WD repeat domain 2,,21,FALSE,
RHEB,RHEB,Ras homolog enriched in brain,,8,FALSE,
RHOA,RHOA,"ras homolog gene family, member A",,4,FALSE,
RICTOR,RICTOR,"RPTOR independent companion of MTOR, complex 2",,39,TRUE,
RIT1,RIT1,Ras-like without CAAX 1,,6,FALSE,
RNF43,RNF43,ring finger protein 43,,9,FALSE,
ROS1,ROS1,"c-ros oncogene 1 , receptor tyrosine kinase",,43,FALSE,
RPS6KA4,RPS6KA4,"ribosomal protein S6 kinase, 90kDa, polypeptide 4",,17,FALSE,
RPS6KB2,RPS6KB2,"ribosomal protein S6 kinase, 70kDa, polypeptide 2",,15,FALSE,
RPTOR,RPTOR,"regulatory associated protein of MTOR, complex 1",,34,TRUE,
RUNX1,RUNX1,runt-related transcription factor 1,,9,TRUE,
RYBP,RYBP,RING1 and YY1 binding protein,,4,FALSE,
SDHA,SDHA,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",,15,FALSE,
SDHAF2,SDHAF2,succinate dehydrogenase complex assembly factor 2,,4,FALSE,
SDHB,SDHB,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",,8,FALSE,
SDHC,SDHC,"succinate dehydrogenase complex, subunit C, integral membrane protein, 15kDa",,7,FALSE,
SDHD,SDHD,"succinate dehydrogenase complex, subunit D, integral membrane protein",,6,FALSE,
SETD2,SETD2,SET domain containing 2,,22,FALSE,
SF3B1,SF3B1,"splicing factor 3b, subunit 1, 155kDa",,26,TRUE,
SH2B3,SH2B3,SH2B adaptor protein 3,,8,FALSE,
SH2D1A,SH2D1A,SH2 domain containing 1A,,4,FALSE,
SHQ1,SHQ1,SHQ1 homolog (S. cerevisiae),,11,FALSE,
SMAD2,SMAD2,SMAD family member 2,,10,FALSE,
SMAD3,SMAD3,SMAD family member 3,,10,FALSE,
SMAD4,SMAD4,SMAD family member 4,,11,FALSE,
